Instance,Source component,Source component app name,App owner,Composite component,Called component,Called component app name,,
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1030,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1040,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1050,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,MORTREAD,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,NPBLDIR,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,NPCOMREC,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,NPGETEL,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,UPWRITE,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,BNPPDR,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DISAMIO,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPRNPMSA,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPSNPMSA,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPXISAM,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1011,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,IOCONTRL,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPRNPTBA,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPRRV70A,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPSRV70A,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1012,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCNPD900,Life 70 - Underwriting,"Hutto, Amy",NP40000X,NP40000,Life 70 - Underwriting,#N/A,#N/A
Colombus,PCNPD900,Life 70 - Underwriting,"Hutto, Amy",NP40000X,NP10030,Life 70 - Underwriting,#N/A,#N/A
Colombus,PCNPD900,Life 70 - Underwriting,"Hutto, Amy",NP40000X,VSAMIO,Life 70 - Underwriting,#N/A,#N/A
Colombus,PCNPD900,Life 70 - Underwriting,"Hutto, Amy",NP40000X,DPX1010,Life 70 - Underwriting,#N/A,#N/A
