CalledComponentName,Called Component Type,Status,Found in Columbus as Diff type,Application Code,Application Name,Application Owner
PE23SPX,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE77X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE78X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE10X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE20X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE23X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE40X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PE50X,COBOL,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
PCEB1103,EZPLUS,Found In Newyork,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB1130,EZPLUS,Found In Newyork,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB1104,EZPLUS,Found In Newyork,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB1135,EZPLUS,Found In Newyork,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CAR200,PROC,Missing,-,AR,Actuarial,"Hutto, Amy"
ARSCC007,COBOL,Missing,-,AR,Actuarial,"Hutto, Amy"
CAR210,PROC,Missing,-,AR,Actuarial,"Hutto, Amy"
ARCB0630,COBOL,Missing,-,AR,Actuarial,"Hutto, Amy"
NB11X,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
NB12X,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
NB13X,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
NB15X,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
PLEB0070,COBOL,Missing,-,PL,Omega Lit,"Hutto, Amy"
DATECARD,CONTROL_CARD,Missing,-,AT,Actuarial,"Hutto, Amy"
CPBTC005,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPBTC015,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPMMSAPC9,CONTROL_CARD,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
CPMMSTPC9,CONTROL_CARD,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
CPMMSAPC1,CONTROL_CARD,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
CPMMSTPC1,CONTROL_CARD,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
ACPMQ705,CONTROL_CARD,Found In Newyork,-,CP,Policy Remarks,"Hutto, Amy"
ACPMQ715,CONTROL_CARD,Found In Newyork,-,CP,Policy Remarks,"Hutto, Amy"
CPLLADDR,CONTROL_CARD,Missing,-,PL,Omega Lit,"Hutto, Amy"
CPLOADDR,CONTROL_CARD,Missing,-,PL,Omega Lit,"Hutto, Amy"
CPOCVUPP,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPOGROUP,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPOIMAGP,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPOSCIMP,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPOLICY,PROC,Missing,DCLGEN,PO,Omega Reissues,"Hutto, Amy"
CPOPLFRL,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
