component_name,component_type,tloc,orphan,Inscope
CDRAEB,COBOL,150,No,Yes
CDRR83,COBOL,559,No,Yes
CNVRT2C1,COBOL,488,No,Yes
CNVRT2C2,COBOL,503,No,Yes
CNVRT2C3,COBOL,344,Yes,Yes
CNVRT2C5,COBOL,386,No,Yes
CEE3ABD,COBOL,86,No,Yes
CNVRT2C7,COBOL,543,Yes,Yes
CNVRT2C8,COBOL,680,Yes,Yes
CNVRT2C9,COBOL,512,No,Yes
CNVRT2CB,COBOL,357,No,Yes
CNVRT2CC,COBOL,536,Yes,Yes
COBPMCC3,COBOL,164,Yes,Yes
CONVNULL,COBOL,323,No,Yes
CNVRT2C6,COBOL,779,No,Yes
CONVYD00,COBOL,422,No,Yes
CONVYK00,COBOL,343,No,Yes
CT01P01,COBOL,1209,Yes,Yes
CT02P01,COBOL,344,Yes,Yes
CT21P01,COBOL,277,Yes,Yes
DATECONV,COBOL,233,No,Yes
copy,COBOL,11,Yes,No
DBX050E,COBOL,795,No,Yes
DBX085,COBOL,448,No,Yes
DD01P01,COBOL,289,No,Yes
DD02P01,COBOL,3070,No,Yes
DBX028E,COBOL,678,No,Yes
DD03P01,COBOL,1585,No,Yes
DD02P10,COBOL,667,Yes,Yes
DD03P10,COBOL,812,No,Yes
DD04P01,COBOL,1187,No,Yes
DD04P10,COBOL,318,No,Yes
DSNTIAR,COBOL,66,No,Yes
DSQ0P01,COBOL,281,No,Yes
DSQ1P01,COBOL,2072,No,Yes
DSQ2P01,COBOL,1018,No,Yes
DSQ3P01,COBOL,1386,No,Yes
DSQ7P01,COBOL,882,No,Yes
DSQAP01,COBOL,2105,No,Yes
DSQBP01,COBOL,1032,No,Yes
DSQCP01,COBOL,1386,No,Yes
DSQGP01,COBOL,1059,No,Yes
DWA030,COBOL,1223,No,Yes
DWA036,COBOL,721,No,Yes
DWA038,COBOL,1742,No,Yes
DWA039,COBOL,1441,Yes,Yes
DWA044,COBOL,2357,No,Yes
DWA044A,COBOL,2268,Yes,Yes
DS20P01,COBOL,803,Yes,Yes
DWA044B,COBOL,2268,Yes,Yes
DWA044C,COBOL,2270,Yes,Yes
DWA200,COBOL,216,No,Yes
DWA400,COBOL,1062,No,Yes
DWA520,COBOL,550,No,Yes
DWA960,COBOL,565,No,Yes
DWAA04,COBOL,1391,No,Yes
DWAA05,COBOL,803,No,Yes
DWA500,COBOL,991,No,Yes
DWAZ00,COBOL,957,No,Yes
DWAZ01,COBOL,725,No,Yes
ECP230,COBOL,2417,No,Yes
ECP260,COBOL,2316,No,Yes
ECPIE1,COBOL,897,No,Yes
ECPOL1,COBOL,1105,No,Yes
ECPOL5,COBOL,1148,No,Yes
ECQACTB,COBOL,827,No,Yes
ECQACTB,COBOL,803,No,Yes
ECQACTD,COBOL,672,Yes,Yes
ECQACTO,COBOL,739,Yes,Yes
EDI230,COBOL,3111,No,Yes
ECPIE2,COBOL,912,Yes,Yes
EDI260,COBOL,2569,No,Yes
EDI280,COBOL,1059,No,Yes
EDI480,COBOL,1699,Yes,Yes
EDI800,COBOL,2193,Yes,Yes
EDI820,COBOL,744,Yes,Yes
EDIIE1,COBOL,920,Yes,Yes
EDS900,COBOL,814,No,Yes
EDS961,COBOL,187,No,Yes
EDS962,COBOL,172,No,Yes
EDW010,COBOL,2315,No,Yes
EDI830,COBOL,1190,Yes,Yes
EDW010B,COBOL,2193,Yes,Yes
EDW010C,COBOL,2193,Yes,Yes
EDW010D,COBOL,2200,Yes,Yes
EDW010A,COBOL,2195,Yes,Yes
EDW011,COBOL,4628,No,Yes
EDW012,COBOL,744,No,Yes
EDW010E,COBOL,2194,Yes,Yes
EDW015,COBOL,674,No,Yes
EDW013,COBOL,608,No,Yes
EDW016,COBOL,574,No,Yes
EDW020,COBOL,2619,No,Yes
EDW022,COBOL,1474,No,Yes
EDW023,COBOL,808,No,Yes
EDW1A0,COBOL,564,No,Yes
EDW1A1,COBOL,288,No,Yes
EDW1B0,COBOL,531,No,Yes
EDW1B1,COBOL,321,No,Yes
EDW060,COBOL,2189,No,Yes
EDW1C0,COBOL,549,No,Yes
EDW1C1,COBOL,319,No,Yes
EDW1C2,COBOL,111,No,Yes
EDW1B2,COBOL,112,No,Yes
EDW1C3,COBOL,377,No,Yes
EDW1D0,COBOL,578,No,Yes
EDW1D1,COBOL,328,No,Yes
EDW1D3,COBOL,380,No,Yes
EDW1E0,COBOL,616,No,Yes
EDW1E1,COBOL,334,No,Yes
EDW1E2,COBOL,111,No,Yes
EDW1D2,COBOL,111,No,Yes
EDW1F0,COBOL,619,No,Yes
EDW1F1,COBOL,342,No,Yes
EDW1F2,COBOL,111,No,Yes
EDW1F3,COBOL,387,No,Yes
EDW1G0,COBOL,587,No,Yes
EDW1G1,COBOL,369,No,Yes
EDW1G2,COBOL,111,No,Yes
EDW1G3,COBOL,378,No,Yes
EDW1H0,COBOL,654,No,Yes
EDW1E3,COBOL,383,No,Yes
EDW1H2,COBOL,111,No,Yes
