CalledComponentName,Called Component Type,Status,Found in Newyork as Diff type,Application Code,Application Name,Application Owner
COCOS340,COBOL,Found in Columbus,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS350,COBOL,Found in Columbus,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOS400,COBOL,Missing,,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NBCKWXA4,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCODRVR,COBOL,Missing,,NB,Batch Trac,"Hutto, Amy"
NBCKWXXX,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX00,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0999,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX23,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX24,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX25,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX26,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX27,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX28,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX29,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX30,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX31,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX32,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX34,COBOL,Missing,,NB,Batch Trac,"Hutto, Amy"
NBCKWX35,COBOL,Missing,,NB,Batch Trac,"Hutto, Amy"
NBCKWX36,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX37,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX38,COBOL,Missing,,NB,Batch Trac,"Hutto, Amy"
NBCKWX39,COBOL,Missing,,NB,Batch Trac,"Hutto, Amy"
NBCKWX40,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX43,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX45,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX46,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX10,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX11,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX21,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX22,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX12,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX13,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX15,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX16,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX17,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX18,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX19,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX49,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
